시도,승인일자,이용건수_전체,이용금액_전체,이용건수_개인,이용금액_개인,이용건수_법인,이용금액_법인
제주,20200820,251.0,8596.0,227.0,7167.0,24.0,1429.0
제주,20200821,253.0,8688.0,229.0,7195.0,24.0,1493.0
제주,20200822,227.0,6963.0,209.0,6142.0,18.0,821.0
제주,20200823,210.0,6136.0,195.0,5506.0,15.0,630.0
제주,20200824,248.0,8269.0,225.0,6879.0,24.0,1390.0
제주,20200825,228.0,7524.0,206.0,6184.0,22.0,1340.0
제주,20200826,120.0,3480.0,109.0,2931.0,11.0,549.0
제주,20200827,233.0,7939.0,211.0,6444.0,22.0,1496.0
제주,20200828,237.0,8070.0,214.0,6485.0,23.0,1585.0
제주,20200829,226.0,6852.0,208.0,5991.0,18.0,861.0
제주,20200830,187.0,5131.0,174.0,4574.0,14.0,557.0
제주,20200831,225.0,8126.0,202.0,6255.0,23.0,1871.0
제주,20200901,216.0,7357.0,195.0,5863.0,21.0,1494.0
제주,20200902,102.0,3208.0,91.0,2624.0,11.0,585.0
제주,20200903,224.0,7095.0,202.0,5829.0,21.0,1266.0
제주,20200904,239.0,7938.0,215.0,6499.0,23.0,1439.0
제주,20200905,216.0,6940.0,199.0,6068.0,17.0,872.0
제주,20200906,153.0,4432.0,142.0,3992.0,11.0,440.0
제주,20200907,192.0,6248.0,175.0,5233.0,18.0,1015.0
제주,20200908,223.0,7191.0,200.0,5753.0,22.0,1438.0
제주,20200909,225.0,7141.0,202.0,5759.0,23.0,1382.0
제주,20200910,227.0,7293.0,205.0,5953.0,23.0,1339.0
제주,20200911,226.0,7479.0,204.0,6139.0,22.0,1340.0
제주,20200912,234.0,7313.0,216.0,6471.0,18.0,842.0
제주,20200913,186.0,5421.0,173.0,4839.0,13.0,583.0
제주,20200914,224.0,7427.0,202.0,6068.0,22.0,1359.0
제주,20200915,224.0,7735.0,201.0,6296.0,22.0,1439.0
제주,20200916,218.0,8165.0,198.0,6785.0,21.0,1380.0
제주,20200917,195.0,7341.0,176.0,6036.0,19.0,1304.0
제주,20200918,230.0,8383.0,209.0,6906.0,21.0,1477.0
제주,20200919,236.0,7562.0,218.0,6690.0,18.0,872.0
제주,20200920,201.0,6038.0,186.0,5350.0,14.0,689.0
제주,20200921,230.0,8227.0,207.0,6660.0,23.0,1567.0
제주,20200922,222.0,7903.0,199.0,6217.0,23.0,1686.0
제주,20200923,215.0,7962.0,192.0,6092.0,23.0,1869.0
제주,20200924,222.0,8281.0,199.0,6335.0,23.0,1947.0
제주,20200925,240.0,9020.0,216.0,6880.0,24.0,2140.0
제주,20200926,238.0,7807.0,220.0,6840.0,18.0,967.0
제주,20200927,208.0,6819.0,193.0,6043.0,15.0,776.0
제주,20200928,249.0,10718.0,224.0,8107.0,25.0,2611.0
제주,20200929,278.0,12979.0,253.0,10162.0,25.0,2816.0
제주,20200930,235.0,7692.0,220.0,6902.0,15.0,791.0
제주,20201001,129.0,2850.0,121.0,2605.0,8.0,244.0
제주,20201002,187.0,5215.0,174.0,4684.0,12.0,531.0
제주,20201003,202.0,5820.0,188.0,5182.0,14.0,638.0
제주,20201004,178.0,4995.0,165.0,4470.0,12.0,525.0
제주,20201005,224.0,7747.0,202.0,6327.0,22.0,1420.0
제주,20201006,219.0,7463.0,197.0,5973.0,22.0,1490.0
제주,20201007,219.0,7374.0,197.0,5847.0,22.0,1527.0
제주,20201008,227.0,7934.0,204.0,6330.0,23.0,1604.0
제주,20201009,217.0,6891.0,200.0,6020.0,17.0,871.0
제주,20201010,233.0,7246.0,216.0,6406.0,17.0,840.0
제주,20201011,201.0,5862.0,187.0,5251.0,14.0,611.0
제주,20201012,229.0,7749.0,206.0,6198.0,22.0,1551.0
제주,20201013,225.0,7627.0,203.0,6122.0,23.0,1505.0
제주,20201014,225.0,7509.0,202.0,6005.0,23.0,1504.0
제주,20201015,226.0,7815.0,203.0,6333.0,23.0,1482.0
제주,20201016,225.0,8676.0,203.0,7078.0,22.0,1598.0
제주,20201017,235.0,7663.0,216.0,6699.0,19.0,964.0
제주,20201018,202.0,6035.0,188.0,5418.0,14.0,618.0
제주,20201019,228.0,8181.0,206.0,6739.0,22.0,1442.0
제주,20201020,228.0,8061.0,205.0,6517.0,23.0,1544.0
제주,20201021,208.0,7550.0,186.0,6053.0,22.0,1497.0
제주,20201022,225.0,7952.0,203.0,6369.0,23.0,1583.0
제주,20201023,233.0,8419.0,210.0,6756.0,24.0,1663.0
제주,20201024,230.0,7537.0,212.0,6565.0,18.0,972.0
제주,20201025,205.0,6256.0,191.0,5582.0,15.0,675.0
제주,20201026,228.0,7902.0,205.0,6244.0,23.0,1657.0
제주,20201027,225.0,7901.0,202.0,6159.0,23.0,1742.0
제주,20201028,225.0,7937.0,202.0,6138.0,24.0,1799.0
제주,20201029,225.0,8016.0,201.0,6171.0,24.0,1844.0
제주,20201030,235.0,9006.0,211.0,6755.0,25.0,2251.0
제주,20201031,236.0,8037.0,217.0,6888.0,19.0,1148.0
제주,20201101,208.0,6669.0,193.0,5924.0,15.0,745.0
제주,20201102,221.0,7996.0,199.0,6362.0,21.0,1634.0
제주,20201103,220.0,8121.0,197.0,6338.0,23.0,1783.0
제주,20201104,223.0,7790.0,200.0,6128.0,23.0,1662.0
제주,20201105,227.0,8085.0,203.0,6342.0,23.0,1743.0
제주,20201106,236.0,8513.0,212.0,6646.0,24.0,1867.0
제주,20201107,234.0,7827.0,215.0,6810.0,19.0,1017.0
제주,20201108,204.0,6559.0,189.0,5838.0,15.0,721.0
제주,20201109,227.0,7961.0,204.0,6322.0,23.0,1638.0
제주,20201110,229.0,7942.0,206.0,6259.0,23.0,1683.0
제주,20201111,235.0,8144.0,212.0,6478.0,24.0,1667.0
제주,20201112,225.0,7854.0,201.0,6148.0,23.0,1706.0
제주,20201113,235.0,8426.0,211.0,6680.0,24.0,1746.0
제주,20201114,235.0,7922.0,216.0,6889.0,19.0,1033.0
제주,20201115,204.0,6518.0,190.0,5811.0,15.0,707.0
제주,20201116,227.0,8146.0,204.0,6678.0,22.0,1468.0
제주,20201117,228.0,8891.0,205.0,7171.0,23.0,1720.0
제주,20201118,225.0,8541.0,202.0,6827.0,23.0,1714.0
제주,20201119,211.0,7768.0,190.0,6212.0,21.0,1556.0
제주,20201120,229.0,8745.0,207.0,6894.0,23.0,1850.0
제주,20201121,227.0,7611.0,209.0,6617.0,18.0,994.0
제주,20201122,185.0,5963.0,172.0,5306.0,13.0,657.0
제주,20201123,219.0,7909.0,196.0,6284.0,22.0,1625.0
제주,20201124,215.0,7770.0,193.0,6163.0,22.0,1606.0
제주,20201125,221.0,7981.0,198.0,6216.0,23.0,1765.0
제주,20201126,217.0,7833.0,195.0,6133.0,22.0,1700.0
제주,20201127,220.0,8383.0,197.0,6394.0,23.0,1989.0
제주,20201128,210.0,7015.0,192.0,6075.0,17.0,939.0
제주,20201129,183.0,5790.0,170.0,5141.0,13.0,649.0
제주,20201130,216.0,8861.0,192.0,6403.0,23.0,2458.0
제주,20201201,211.0,7735.0,189.0,6005.0,22.0,1730.0
제주,20201202,213.0,7464.0,191.0,5862.0,22.0,1603.0
제주,20201203,210.0,7528.0,188.0,5840.0,22.0,1688.0
제주,20201204,218.0,8092.0,196.0,6375.0,23.0,1717.0
제주,20201205,215.0,7196.0,198.0,6309.0,17.0,887.0
제주,20201206,186.0,5762.0,173.0,5130.0,13.0,633.0
제주,20201207,211.0,7674.0,189.0,5952.0,22.0,1723.0
제주,20201208,207.0,7624.0,185.0,5798.0,22.0,1827.0
제주,20201209,207.0,7414.0,185.0,5703.0,22.0,1711.0
제주,20201210,207.0,7500.0,185.0,5687.0,22.0,1814.0
제주,20201211,212.0,7857.0,190.0,5960.0,22.0,1897.0
제주,20201212,210.0,6900.0,193.0,6059.0,17.0,841.0
제주,20201213,175.0,5336.0,162.0,4746.0,13.0,590.0
제주,20201214,201.0,7534.0,180.0,5938.0,21.0,1596.0
제주,20201215,197.0,7581.0,176.0,5749.0,21.0,1832.0
제주,20201216,190.0,7765.0,170.0,6195.0,20.0,1570.0
제주,20201217,194.0,7745.0,173.0,6096.0,21.0,1649.0
제주,20201218,199.0,7719.0,178.0,5999.0,21.0,1719.0
제주,20201219,184.0,6049.0,169.0,5268.0,16.0,781.0
제주,20201220,153.0,4534.0,142.0,4027.0,11.0,507.0
제주,20201221,189.0,7036.0,169.0,5439.0,20.0,1597.0
제주,20201222,187.0,7010.0,166.0,5271.0,20.0,1739.0
제주,20201223,189.0,7264.0,168.0,5351.0,21.0,1913.0
제주,20201224,210.0,8003.0,189.0,6114.0,21.0,1889.0
제주,20201225,168.0,5067.0,155.0,4487.0,13.0,580.0
제주,20201226,174.0,5150.0,159.0,4483.0,14.0,666.0
제주,20201227,132.0,3767.0,122.0,3389.0,9.0,378.0
제주,20201228,196.0,7557.0,176.0,5611.0,20.0,1946.0
제주,20201229,183.0,7401.0,163.0,5511.0,20.0,1891.0
제주,20201230,163.0,6542.0,146.0,4864.0,17.0,1678.0
제주,20201231,186.0,7272.0,169.0,5634.0,17.0,1637.0
제주,20210101,141.0,3935.0,131.0,3555.0,9.0,380.0
제주,20210102,176.0,5481.0,162.0,4879.0,14.0,602.0
제주,20210103,150.0,4274.0,139.0,3814.0,11.0,460.0
제주,20210104,191.0,6560.0,172.0,5363.0,19.0,1197.0
제주,20210105,188.0,6556.0,169.0,5297.0,19.0,1259.0
제주,20210106,191.0,6874.0,172.0,5754.0,19.0,1120.0
제주,20210107,135.0,4156.0,123.0,3575.0,12.0,581.0
