CL_CD,CL_NM,AREA_NM,ADDR,BASE_YEAR,ALL_TOTAL_CO,JAN_VIEWS_CO,FEB_VIEWS_CO,MAR_VIEWS_CO,APR_VIEWS_CO,MAY_VIEWS_CO,JUN_VIEWS_CO,JULY_VIEWS_CO,AUG_VIEWS_CO,SEP_VIEWS_CO,OCT_VIEWS_CO,NOV_VIEWS_CO,DEC_VIEWS_CO
c4,음식점,난드르깡통구이,제주특별자치도 서귀포시 안덕면 대평감산로 14,2023,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000
c4,음식점,난드르바당,제주특별자치도 서귀포시 하예하동로16번길 11-1,2023,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000
c4,음식점,난산리다방,제주특별자치도 서귀포시 성산읍 난산로41번길 39-2,2023,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000
c4,음식점,남경미락,제주특별자치도 서귀포시 안덕면 사계남로 190-7,2023,18,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,18.00000
c4,음식점,남또리,제주특별자치도 제주시 애월읍 애월해안로 384,2023,6,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000
c4,음식점,남양수산,제주특별자치도 서귀포시 성산읍 고성동서로56번길 11,2023,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000
c4,음식점,남원콩나물국밥,제주특별자치도 서귀포시 남원읍 일주동로 7147 (남원리) 남원콩나물국밥,2023,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.00000
c4,음식점,남춘식당,제주특별자치도 제주시 청귤로 12,2023,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.00000
c4,음식점,낭뜰에쉼팡,제주특별자치도 제주시 조천읍 남조로 2343,2023,27,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,27.00000
c4,음식점,낭만주의,제주특별자치도 제주시 내도1길 18-1,2023,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000
c4,음식점,낭쿰낭쿰 올레시장본점,제주특별자치도 서귀포시 중앙로79번길 4,2023,17,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.00000
c4,음식점,내가 찾은 맛고을,제주특별자치도 제주시 진남로8길 39,2023,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000
