ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202312,청년다방 제주노형점,제주시,노형동,제주시내,분식,분식,1.25,2.74,0.02,0.09,0.22,1,-0.29,14033,다나05a98b
202312,제주예찬,제주시,노형동,제주시내,한식,가정식,0.53,0.6,0.57,1.04,0.63,1.12,-0.25,13817,다나05b96a
202312,더헤이븐(The Haven),제주시,연동,제주시내,한식,단품요리 전문,0.55,3.77,0.02,0.33,0.11,1.56,-0.11,12119,다나06a99b
202312,보편적인노래,제주시,연동,제주시내,한식,단품요리 전문,0.03,0.04,0.02,0.06,0.02,0.07,-0.02,8108,다다06a00a
202312,예촌삼계탕,서귀포시,예래동,서귀포시내,한식,삼계탕,0.27,0.2,0,0.02,0.05,0.08,0.02,5003,나나96b75b
202312,쭈희쭈꾸미,서귀포시,중문동,서귀포시내,한식,주꾸미,0.13,0.16,0.01,0.06,0.03,0.11,0.05,3555,나나99b73b
202312,카페바우(cafe VOW),서귀포시,중문동,서귀포시내,음료,커피,0.02,0.07,0,0.07,0.01,0.09,0.03,4456,다나01b72b
202312,카페신상,제주시,이호동,제주시내,음료,커피,0.39,1.43,0.15,1.24,0.21,1.57,-0.34,14249,다다02a01a
202312,신옛촌 제주점,제주시,이호동,제주시내,한식,단품요리 전문,0.1,0.04,0.25,0.29,0.25,0.27,0.12,1737,다다03a00a
202312,그랜드,제주시,노형동,제주시내,한식,단품요리 전문,3.79,0.32,0.05,0.02,0.65,0.12,0.02,4799,다다05a00a
202312,더벤티제주노형점,제주시,노형동,제주시내,음료,커피,0.46,5.4,0.01,0.35,0.09,2.12,0.34,414,다나05a99b
202312,레카소,제주시,외도동,제주시내,한식,단품요리 전문,0.71,0.99,0.01,0.03,0.12,0.36,-0.08,11063,다나00b99b
202312,중문회포장센터 새벽야시장,서귀포시,중문동,서귀포시내,일식.회,회,0.18,0.24,0.99,2.14,0.96,1.97,-0.44,14524,다나00a73a
202312,제주숲누룽지통닭,제주시,외도동,제주시내,패스트푸드,치킨,0.64,0.99,0.03,0.15,0.13,0.47,0.03,4298,다다00b00a
202312,밥장인돼지찌개 외도점,제주시,외도동,제주시내,한식,돼지고기,0.11,0.36,0.01,0.08,0.02,0.19,-0.07,10779,다다00b00a
202312,피자굽는곰아저씨외도점,제주시,외도동,제주시내,패스트푸드,피자,0.19,0.44,0,0,0.03,0.15,0.01,5423,다다00b00a
202312,밥을담다,제주시,외도동,제주시내,한식,가정식,0.11,0.23,0,0.03,0.02,0.1,-0.02,8109,다다00b00b
202312,와와치킨,제주시,도두동,제주시내,패스트푸드,치킨,0.93,1.47,0.03,0.14,0.18,0.61,0.14,1431,다다03b01b
202312,노형토종닭,제주시,노형동,제주시내,한식,치킨,1.23,0.71,0.03,0.06,0.22,0.29,0.11,1860,다나04a99a
202312,멕시카나월광로점,제주시,노형동,제주시내,패스트푸드,치킨,0.28,0.5,0,0.02,0.05,0.19,-0.01,7492,다다04b00a
202312,테스그릭,제주시,노형동,제주시내,한식,단품요리 전문,0.17,0.79,0.01,0.09,0.03,0.35,0.12,1738,다나04b99a
202312,비1983,제주시,노형동,제주시내,한식,가정식,1.29,0.24,0,0,0.2,0.08,-0.03,8550,다다04b00a
202312,24시 전주명가콩나물국밥 노형점,제주시,노형동,제주시내,한식,국밥,3.67,12.08,0.07,0.69,0.65,4.66,-0.3,14063,다다04b00a
202312,현주네치킨,제주시,노형동,제주시내,패스트푸드,치킨,0.53,0.95,0.03,0.09,0.11,0.4,0.01,6108,다다04b00a
202312,칠돈가본점,제주시,노형동,제주시내,한식,돼지고기,0.41,0.2,1.05,1.37,1.06,1.28,-0.3,14084,다다05a00b
202312,보통,제주시,연동,제주시내,한식,단품요리 전문,0.05,0.32,0,0,0.01,0.11,0.01,5911,다다05a00a
202312,소인커피(Soin Coffee),제주시,노형동,제주시내,한식,커피,0.73,4.01,0.04,0.44,0.15,1.73,-0.29,14034,다나05b99b
202312,황금장어제주본점,제주시,노형동,제주시내,한식,장어,3.86,2.03,0.16,0.26,0.76,0.9,0.08,2728,다나05b99b
202312,담아래 본점,제주시,연동,제주시내,한식,가정식,1.52,2.34,0.23,0.87,0.46,1.56,0.34,415,다나05b97b
202312,공차제주연동신시가지점,제주시,연동,제주시내,음료,커피,0.42,3.14,0.02,0.27,0.08,1.29,0.08,2517,다나06a99a
202312,탐나는면,제주시,연동,제주시내,한식,단품요리 전문,0.16,0.41,0.02,0.1,0.04,0.23,-0.06,10257,다나06a98b
202312,영화루,제주시,연동,제주시내,아시아음식,중식,1.35,3.62,0.05,0.32,0.26,1.49,0.05,3434,다나06b99b
202312,감각,서귀포시,대천동,서귀포시내,한식,가정식,0.24,0.24,0.07,0.14,0.11,0.2,-0.02,8281,다나07a72a
202312,오스테리아 한,서귀포시,대륜동,서귀포시내,양식,양식,0.26,0.32,0.04,0.11,0.08,0.2,-0.03,8551,다나08b74a
202312,서가앤쿡 제주점,제주시,건입동,제주시내,양식,패밀리 레스토랑,2.24,2.42,0.14,0.44,0.49,1.2,-0.24,13703,다다09b03a
202312,신계발,제주시,이도2동,제주시내,한식,가정식,1.29,1.32,0.04,0.1,0.24,0.53,0.02,4800,다다09b01a
202312,도어스,제주시,이도2동,제주시내,양식,양식,0.43,0.6,0,0.05,0.07,0.24,-0.02,7819,다다09b01a
202312,신제주양곱창,제주시,노형동,제주시내,한식,곱창,0.47,0.36,0.03,0.06,0.1,0.17,0.1,2074,다나05b99b
202312,정글북바이앨리스,제주시,연동,제주시내,한식,단품요리 전문,0.14,0.08,0.02,0.06,0.04,0.08,0.02,5004,다나06a99b
202312,케이엠지엠신제주점,제주시,연동,제주시내,주점및주류판매,맥주/요리주점,0.87,0.16,0.01,0.03,0.15,0.08,0.2,895,다나06a99b
202312,한라산과자점,서귀포시,대천동,서귀포시내,간식,베이커리,0.23,0.32,0.27,1.04,0.29,1.02,-0.18,13208,다나07a72b
202312,칠공팔공구공용담라이브,제주시,용담2동,제주시내,한식,단품요리 전문,0.21,0.04,0.02,0.02,0.05,0.03,0.02,5005,다다07b03a
202312,전이전,제주시,용담1동,제주시내,한식,가정식,0.33,0.08,0,0,0.05,0.03,-0.02,7955,다다08a01a
202312,돈앤삼겹삼도점,제주시,삼도1동,제주시내,한식,돼지고기,1.31,1.67,0.02,0.08,0.23,0.63,0.17,1115,다다08b01b
202312,카페쉬머,서귀포시,대륜동,서귀포시내,음료,커피,0.09,0.52,0.02,0.18,0.03,0.33,-0.01,7493,다나08b74a
202312,만옥,제주시,건입동,제주시내,한식,단품요리 전문,0.97,0.36,0.04,0.08,0.19,0.19,-0.01,7494,다다09a03a
202312,전원일기본점,서귀포시,대륜동,서귀포시내,한식,가정식,0.7,1.47,0.12,0.44,0.22,0.88,0.17,1116,다나09a73a
202312,전포여관제주시청점,제주시,이도2동,제주시내,주점및주류판매,맥주/요리주점,1.48,1.99,0.1,0.26,0.33,0.89,-0.01,7495,다다09b01a
202312,헬로프랜드,제주시,연동,제주시내,주점,주류,1,0.83,0.18,0.23,0.33,0.48,-0.07,10780,다나06a98b
202312,웃뜨르우리돼지,제주시,연동,제주시내,한식,돼지고기,0.22,0.24,0,0,0.04,0.08,0.09,2311,다다06a00a
202312,청자다방제주1호점,제주시,연동,제주시내,음료,커피,0.02,0.28,0,0.07,0.01,0.16,0.03,4457,다나06a99b
202312,정우말가든,제주시,연동,제주시내,한식,고기,1.27,0.48,0.8,1.46,0.96,1.45,-0.01,7496,다나06b99a
202312,골드스푼,서귀포시,대천동,서귀포시내,한식,가정식,0.01,0.04,0.01,0.05,0.01,0.05,0.07,3018,다나07a73b
202312,덕성루,서귀포시,대천동,서귀포시내,아시아음식,중식,0,0,0.04,0.02,0.04,0.01,-0.01,7118,다나07a74a
202312,다다익고정육식당 신서귀포점,서귀포시,대천동,서귀포시내,한식,고기,1.93,3.73,0.26,1.04,0.56,2.17,0.07,2787,다나07b74a
202312,조마루뼈다귀 용담점,제주시,용담2동,제주시내,고기,감자탕,0.87,1.51,0.02,0.12,0.16,0.61,0.02,4801,다다08a02b
202312,다올국수,제주시,삼도1동,제주시내,한식,면류,1.79,1.19,0.02,0.17,0.3,0.55,-0.15,12785,다다08b01a
202312,영란다방,제주시,이도1동,제주시내,음료,커피,0.04,0.16,0,0.03,0.01,0.08,-0.05,9961,다다09b01b
202312,잇잇,제주시,이도2동,제주시내,간식,분식,0.7,2.15,0.03,0.21,0.14,0.9,-0.16,12950,다다09b01a
202312,이모밥상,제주시,연동,제주시내,한식,가정식,0.99,1.35,0.24,0.78,0.39,1.14,-0.39,14411,다나07a99a
202312,용두암 엄마 해장국,제주시,용담2동,제주시내,한식,해장국,0.42,1.11,0.49,2.37,0.53,2.46,-0.2,13434,다다07b03a
