,숙박업명,숙박업주소,숙박위도,숙박경도,구역,대분류명,중분류명,식당명,도시명,행정동명,식당주소,식당위도,식당경도,검색량합계값,제주도민매출금액비율,외지인매출금액비율,전체매출금액비율,숙박_식당 거리
2,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,주류,계절식탁,제주시,이도2동,제주 제주시 신성로13길 13-1,33.498945822646,126.529606027933,541,0.32,0.0,0.06,1.3983485951302863
44,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,순두부,일품순두부시청점,제주시,이도2동,제주 제주시 중앙로 260,33.49676038,126.5315799,528,8.799999999999999,0.28,1.26,1.683249029482648
31,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,해장국,쉬멍해장국,제주시,이도2동,제주 제주시 구남로4길 8-12,33.4887902,126.533081,517,1.36,0.02,0.16999999999999998,2.572443705132194
20,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,고기,갈비,부평갈비,제주시,이도2동,제주 제주시 동광로6길 7,33.501292003477,126.532063010459,400,0.63,0.0,0.09000000000000001,1.235581672267338
22,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,카페,커피,빠빠라기,제주시,이도2동,제주 제주시 중앙로 218,33.499987990029,126.529297851412,398,3.3499999999999996,0.24000000000000002,0.73,1.2789988242654768
11,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,고기,돼지고기,돈풍년,제주시,아라동,제주 제주시 승천로 68,33.4925795,126.5423967,351,31.439999999999998,0.56,3.38,2.569848182171759
13,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,피자.치킨.햄버거,양식,맥도날드제주시청DT점,제주시,이도2동,제주 제주시 중앙로 277,33.49567928,126.5331693,348,0.36,0.0,0.03,1.8465751811662297
27,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,고기,샤브샤브,샤브마니아제주아라점,제주시,아라동,제주 제주시 연북로 527,33.48521544,126.5361918,345,22.33,0.24000000000000002,2.55,3.0363554014342116
42,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,웃뜨르식당,제주시,이도2동,제주 제주시 중앙로 281,33.49537587,126.5334326,324,0.63,0.01,0.08,1.8869456141489562
18,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,베이커리.디저트,커피,배스킨라빈스제주법원,제주시,이도2동,제주 제주시 중앙로 325-1,33.4922731,126.5363687,305,2.09,0.03,0.28,2.3118191201546563
19,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,베이커리.디저트,커피,배스킨라빈스제주시청점,제주시,이도2동,제주 제주시 중앙로 224,33.4996305,126.5295622,305,3.34,0.08,0.47,1.3236734555466352
4,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,꽁지식당,제주시,이도2동,제주 제주시 고산동산5길 6,33.49562383,126.5338158,291,1.5999999999999999,0.06,0.22,1.8750657985301211
34,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,단품요리 전문,싱푸미엔관,제주시,이도2동,제주 제주시 구남로2길 32,33.4869858,126.5344994,198,3.99,0.11,0.47,2.8013932976420923
26,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,삼계별장,제주시,이도2동,제주 제주시 연북로 599,33.489239892752,126.542377752734,180,1.96,0.05,0.33,2.875506463160805
47,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,단품요리 전문,제주정낭집이도점,제주시,이도2동,제주 제주시 구남로2길 11,33.48834367113,126.533322895134,158,1.15,0.01,0.14,2.6262361750700625
33,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,일식.회,일식,스시도모다찌제주점,제주시,이도2동,제주 제주시 광양8길 1,33.49996856,126.5291798,147,8.37,0.26,1.0,1.2784143869176827
38,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,한식,가정식,영해식당제주점,제주시,이도2동,제주 제주시 정든로2길 24-1,33.496689439329,126.539307449806,85,0.1,0.0,0.02,2.0326212898618716
14,라마다제주시티,제주특별자치도 제주시 중앙로 304,33.511128,126.525863,제주시,카페,커피,메가커피제주이도점,제주시,이도2동,제주 제주시 중앙로 293,33.494608431809,126.534101973371,83,0.29,0.01,0.04,1.9894129715293591
75,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,카페,커피,카페델문도,제주시,조천읍,제주 제주시 조천읍 조함해안로 519-10,33.54376995,126.6688915,17454,21.59,40.38999999999999,40.02,2.969883062953666
74,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,가정식,존맛식당,제주시,조천읍,제주 제주시 조천읍 신북로 493,33.54296558,126.6628529,7783,1.4200000000000002,1.37,1.4100000000000001,2.416010545460837
58,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,일식.회,회,고집돌우럭함덕점,제주시,조천읍,제주 제주시 조천읍 신북로 491-9,33.54378868,126.6630986,7064,6.48,15.969999999999999,15.61,2.433303161446667
70,라마다제주함덕,제주특별자치도 제주시 조천읍 신북로 470,33.544669,126.636864,제주시,한식,해장국,은희네해장국함덕점,제주시,조천읍,제주 제주시 조천읍 조함해안로 480,33.5430157,126.6641549,4355,7.779999999999999,4.14,4.640000000000001,2.5359114541296073
