숙박업명,시도명,구군명,주변숙박업목록내용,1Q Average Price,2Q Average Price,Number of rooms,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,Number of Accommodations Nearby,구군명_서귀포시,구군명_제주시
골든데이지호텔서귀포오션,제주,서귀포시,"오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 제주 노블피아 호텔, 헤이, 서귀포, 신신호텔 천지연",67719,73330,281,1,0,1,1,0,0,0,0,1,1,0,8,1,0
이스턴 호텔 제주,제주,서귀포시,"그린트리인 서귀포(그랜드밀리언스), 신신호텔 제주월드컵",53276,63877,205,1,1,0,0,1,0,0,0,1,1,0,2,1,0
라마다제주시티,제주,제주시,없음,99725,132697,357,1,1,1,1,1,0,0,0,1,1,0,0,0,1
라마다제주함덕,제주,제주시,오션그랜드호텔,119826,141779,300,1,1,1,1,1,0,0,0,1,0,1,1,0,1
라마다프라자제주,제주,제주시,"라마다프라자제주호텔, 제주 리젠트마린 더 블루, 휘슬락, 오션 스위츠 제주 호텔",201093,243578,400,1,1,1,1,1,1,0,1,1,1,0,4,0,1
신신호텔 제주공항,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 호텔 시리우스, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",106753,104896,209,1,1,1,1,0,0,0,0,1,1,0,19,0,1
제주 리젠트마린 더 블루,제주,제주시,"라마다프라자제주호텔, 라마다프라자제주, 휘슬락, 오션 스위츠 제주 호텔",95707,114704,327,1,1,1,1,0,1,0,0,1,1,0,4,0,1
베스트웨스턴 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",86580,110124,363,1,1,1,1,1,0,0,0,1,1,0,17,0,1
브라운 스위트 제주,제주,서귀포시,"더베스트제주성산, 골든튤립제주성산, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",112093,92545,215,1,0,1,0,0,0,0,0,0,1,0,4,1,0
제주 센트럴 시티,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",93712,120172,240,1,1,0,0,0,0,0,0,1,1,0,23,0,1
골든튤립제주성산,제주,서귀포시,"더베스트제주성산, 브라운 스위트 제주, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",104241,103271,252,1,1,1,0,0,1,0,0,1,1,0,4,1,0
오션팰리스,제주,서귀포시,"골든데이지호텔서귀포오션, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 파크 선샤인 제주, 제주 노블피아 호텔, 호텔 화인, 헤이, 서귀포, 신신호텔 천지연",93738,90235,257,1,1,1,1,0,0,0,0,0,1,0,10,1,0
코업시티성산,제주,서귀포시,없음,99568,110051,191,1,1,1,1,0,0,0,0,1,1,0,0,1,0
글로스터 제주,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",90516,99111,464,1,1,1,1,0,0,0,0,1,1,0,19,0,1
호텔위드제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",77057,78603,295,1,1,1,1,0,0,0,0,0,1,0,20,0,1
휘슬락,제주,제주시,"라마다프라자제주호텔, 라마다프라자제주, 제주 리젠트마린 더 블루, 오션 스위츠 제주 호텔",94598,115274,349,1,1,0,1,1,1,0,0,1,1,0,4,0,1
호텔 케니 서귀포,제주,서귀포시,"골든데이지호텔서귀포오션, 오션팰리스, 신신호텔 서귀포점, 카사로마 호텔, 제주 노블피아 호텔, 헤이, 서귀포, 신신호텔 천지연",49602,50343,324,1,1,1,0,0,0,0,0,1,1,0,8,1,0
엠버리조트,제주,제주시,없음,398731,512482,20,1,1,1,0,1,0,0,1,1,1,0,0,0,1
알리바호텔,제주,제주시,아스타호텔,62267,53700,28,1,1,0,1,0,0,0,0,0,0,0,1,0,1
노형호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주",75777,75197,48,1,0,0,0,0,0,0,0,0,1,0,12,0,1
호텔 위드스테이 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",64612,82061,50,1,1,1,1,0,0,0,0,0,0,0,20,0,1
위드시티호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",59231,79338,93,1,0,0,1,0,0,0,0,0,0,0,20,0,1
아시아호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",75509,88410,352,1,0,0,1,0,0,0,0,0,0,0,23,0,1
해비치 호텔 & 리조트,제주,서귀포시,없음,372464,432991,503,1,1,1,1,1,1,1,1,1,1,1,0,1,0
휘닉스 제주 섭지코지,제주,서귀포시,없음,383738,469491,300,1,1,1,1,0,1,1,1,1,1,1,0,1,0
베니키아 중문 호텔,제주,서귀포시,중문 썬라이즈호텔,89092,106694,45,1,1,1,1,0,0,0,0,1,1,0,1,1,0
빠레브 호텔 제주,제주,서귀포시,제주 웨스턴그레이스 강정,120024,122193,204,1,1,1,1,1,0,1,1,1,1,0,1,1,0
제주 골드원 호텔 스위트,제주,서귀포시,돔베리조트,272320,276777,51,1,1,1,1,1,1,0,0,1,1,0,1,1,0
호텔 토스카나,제주,서귀포시,없음,361580,346852,97,1,1,1,1,1,1,0,1,1,1,0,0,1,0
오션 스위츠 제주 호텔,제주,제주시,"라마다프라자제주호텔, 라마다프라자제주, 제주 리젠트마린 더 블루, 휘슬락",127521,142130,350,1,1,1,1,1,0,0,0,1,0,0,4,0,1
호텔 앨리스 앤 트렁크,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",103676,134091,80,1,0,1,0,0,0,0,0,1,1,0,19,0,1
호텔 레오 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",113133,115861,95,1,1,1,1,0,0,0,0,1,1,0,22,0,1
