숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1Q Average Price_standard,2Q Average Price_standard,Number of rooms_standard,Number of Accommodations Nearby_standard
알리바호텔,제주,제주시,아스타호텔,62267,53700,28,1,1,0,1,0,0,0,0,0,0,0,1,0,1,11.03920293,10.8911869,3.36729583,0.693147181,-0.587384789,-0.885112755,-1.097478506,-0.375581509,-1.135822305,-1.519978366,-1.509411057,-0.658365498
노형호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주",75777,75197,48,1,0,0,0,0,0,0,0,0,1,0,12,0,1,11.23556329,11.22787991,3.891820298,2.564949357,-0.36145021,-0.493719033,-0.731832,0.39165782,-0.805587003,-0.963639246,-0.972992177,0.967317028
호텔 위드스테이 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 위드시티호텔, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",64612,82061,50,1,1,1,1,0,0,0,0,0,0,0,20,0,1,11.07617091,11.31523034,3.931825633,3.044522438,-0.544848991,-0.392177253,-0.703944244,0.588231653,-1.073650227,-0.819304625,-0.932079658,1.38383197
위드시티호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",59231,79338,93,1,0,0,1,0,0,0,0,0,0,0,20,0,1,10.98921722,11.28148509,4.543294782,3.044522438,-0.644898948,-0.431404911,-0.277688519,0.588231653,-1.219887373,-0.875064029,-0.30674449,1.38383197
아시아호텔 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 아이진호텔, 신라스테이제주, 호텔더원, 어반아일랜드호텔, 호텔 시리우스, 그랜드하얏트 제주, 베스트웨스턴 제주호텔, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 글로스터 제주, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",75509,88410,352,1,0,0,1,0,0,0,0,0,0,0,23,0,1,11.23202038,11.38975168,5.866468057,3.17805383,-0.365526731,-0.305548833,0.644696828,0.642965288,-0.811545413,-0.696168314,1.046433807,1.499805578
해비치 호텔 & 리조트,제주,서귀포시,없음,372464,432991,503,1,1,1,1,1,1,1,1,1,1,1,0,1,0,12.82789835,12.97847453,6.222576268,0,1.47070953,1.541285315,0.892940201,-0.659697953,1.872373261,1.928978765,1.410617329,-1.260372095
휘닉스 제주 섭지코지,제주,서귀포시,없음,383738,469491,300,1,1,1,1,0,1,1,1,1,1,1,0,1,0,12.85771791,13.05940654,5.707110265,0,1.505020272,1.635365912,0.53360836,-0.659697953,1.922523258,2.06270783,0.883462328,-1.260372095
베니키아 중문 호텔,제주,서귀포시,중문 썬라이즈호텔,89092,106694,45,1,1,1,1,0,0,0,0,1,1,0,1,1,0,11.39743605,11.57772958,3.828641396,0.693147181,-0.175197485,-0.0870311702,-0.775874073,-0.375581509,-0.533352335,-0.385560561,-1.037603759,-0.658365498
빠레브 호텔 제주,제주,서귀포시,제주 웨스턴그레이스 강정,120024,122193,204,1,1,1,1,1,0,1,1,1,1,0,1,1,0,11.69545533,11.71336522,5.323009979,0.693147181,0.167707066,0.070640476,0.265851686,-0.375581509,-0.0321488973,-0.161441215,0.490651968,-0.658365498
제주 골드원 호텔 스위트,제주,서귀포시,돔베리조트,272320,276777,51,1,1,1,1,1,1,0,0,1,1,0,1,1,0,12.5147368,12.53097102,3.951243719,0.693147181,1.110382103,1.021078305,-0.690407878,-0.375581509,1.345703828,1.18954046,-0.912221237,-0.658365498
호텔 토스카나,제주,서귀포시,없음,361580,346852,97,1,1,1,1,1,1,0,1,1,1,0,0,1,0,12.79824136,12.75665634,4.584967479,0,1.436585842,1.283429508,-0.248638442,-0.659697953,1.822496671,1.56245456,-0.2641268,-1.260372095
