숙박업명,시도명,구군명,주변숙박업목록내용,1분기평균가격,2분기평균가격,객실수,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,주변숙박업소수,구군명_서귀포시,구군명_제주시,1분기평균가격_log,2분기평균가격_log,객실수_log,주변숙박업소수_log,1분기평균가격_robust,2분기평균가격_robust,객실수_robust,주변숙박업소수_robust,1분기평균가격_standard,2분기평균가격_standard,객실수_standard,주변숙박업소수_standard,UMAP1,UMAP2,UMAP3,kmeans_cluster
호텔 시리우스,제주,제주시,"롯데호텔 제주, 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 어반아일랜드호텔, 신신호텔 제주공항, 제주 센트럴 시티, 글로스터 제주, 아시아호텔 제주, 호텔 앨리스 앤 트렁크, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동, 벤티모 호텔 앤 레지던스 제주",118831,134684,280,1,1,1,1,1,1,0,0,1,0,0,14,0.0,1.0,11.685466009909078,11.81069399762302,5.638354669333745,2.70805020110221,0.1562132309498425,0.18378173338304155,0.48567876917794806,0.45031390921801506,-0.048948760629106504,-0.0006187386658845497,0.8131475920736381,1.0916018178233184,13.022959,5.733621,10.846815,5
그랜드하얏트 제주,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 호텔더원, 베스트웨스턴 제주호텔, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 어반스테이 제주연동",450143,462907,750,1,1,1,0,1,1,1,1,1,1,0,16,0.0,1.0,13.017322810557422,13.045283609220423,6.621405651764134,2.833213344056216,1.6886635736890325,1.618948506385602,1.1709645430833984,0.5016174534938236,2.190943883655673,2.039371623118676,1.8184907924356892,1.2003075009376363,13.0817,4.909991,8.799045,4
다인리조트,제주,제주시,"올레리조트, 수앤수리조트(구.수앤수가족호텔)",114866,123583,91,1,1,1,1,0,1,0,0,1,1,0,2,0.0,1.0,11.65153021631891,11.724676365788186,4.5217885770490405,1.0986122886681096,0.1171663015103843,0.08378927763736928,-0.29268051466732375,-0.2093840437973535,-0.10602136363235716,-0.14275110252042084,-0.3287383819966258,-0.3062142130949996,11.4867115,6.0732093,10.512568,3
올레리조트,제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 수앤수리조트(구.수앤수가족호텔)",240625,240786,53,1,1,1,1,0,1,1,0,1,1,0,3,0.0,1.0,12.390999139859707,12.391668004248505,3.9889840465642745,1.3862943611198906,0.9680080772729398,0.8591434750133156,-0.6640990591164544,-0.09146506546992474,1.1376040784646582,0.9593612926174454,-0.8736250881984426,-0.05635890052023141,11.599473,5.6580873,9.041069,0
베스트웨스턴 제주호텔,제주,제주시,"롯데호텔 제주, 엠버시티호텔(구.아이비호텔), 엠버호텔, 롯데시티호텔 제주, 신라스테이제주, 그랜드하얏트 제주, 신신호텔 제주공항, 베스트웨스턴 제주, 제주 센트럴 시티, 호텔위드제주, 노형호텔, 호텔 위드스테이 제주, 위드시티호텔, 아시아호텔 제주, 호텔 레오 제주, 호텔 스카이파크 제주 1호점, 어반스테이 제주연동",92752,117626,363,1,1,1,1,1,0,0,0,1,1,0,17,0.0,1.0,11.43769532496007,11.675273879931225,5.8971538676367405,2.8903717578961645,-0.12887467856565277,0.026360634516112112,0.6660879362149553,0.5250463091933834,-0.4656450108690147,-0.22438194895691424,1.0778154668056488,1.2499502653773704,13.564576,5.8741426,11.15757,5
에코그린리조트(구.에코패밀리호텔),제주,제주시,없음,337526,374804,104,1,1,1,1,0,1,1,1,1,1,0,0,0.0,1.0,12.729400786094892,12.834161169705661,4.653960350157523,0.0,1.3573770533551817,1.3735261349509431,-0.2005434460494041,-0.6596979530153685,1.70672183785671,1.6905206869688871,-0.19356940729513517,-1.260372094551657,12.098199,5.4192095,8.372675,0
수앤수리조트(구.수앤수가족호텔),제주,제주시,"베니키아호텔제주(구. 뉴베니키아호텔제주), 다인리조트, 올레리조트",112439,113305,40,1,1,1,1,0,1,0,0,1,1,0,3,0.0,1.0,11.630175025020469,11.637847402365924,3.713572066704308,1.3862943611198906,0.09259476333253572,-0.0171463223930325,-0.8560890119615847,-0.09146506546992474,-0.14193613756555246,-0.2862240807807625,-1.1552824652817049,-0.05635890052023141,11.298666,6.2018604,10.831868,3
그린트리인 서귀포(그랜드밀리언스),제주,서귀포시,"이스턴 호텔 제주, 신신호텔 제주월드컵",45233,56642,305,1,1,1,0,0,0,0,0,1,1,0,2,1.0,0.0,10.719604295439757,10.944523693066643,5.723585101952381,1.0986122886681096,-0.9551187941272133,-0.8231106211155573,0.5450929847387302,-0.2093840437973535,-1.6733174980061043,-1.4318466190566466,0.9003107580014322,-0.3062142130949996,9.267805,5.300192,13.232734,2
더베스트제주성산,제주,서귀포시,"브라운 스위트 제주, 골든튤립제주성산, 코델리아s 호텔 앤 리조트, 플레이스 캠프 제주",76811,83605,273,1,1,1,0,1,1,0,0,1,1,0,4,1.0,0.0,11.249116156930004,11.333870566832354,5.6131281063880705,1.6094379124341003,-0.34585612172115276,-0.3705086462147771,0.46809330817931105,0.0,-0.7827940400516301,-0.7885041978894015,0.7873489773738808,0.13744393636666102,9.662671,5.1516876,13.04138,2
골든데이지호텔서귀포오션,제주,서귀포시,"오션팰리스, 호텔 케니 서귀포, 신신호텔 서귀포점, 카사로마 호텔, 제주 노블피아 호텔, 헤이, 서귀포, 신신호텔 천지연",67719,73330,281,1,0,1,1,0,0,0,0,1,1,0,8,1.0,0.0,11.123136836247072,11.202738717978361,5.641907070938114,2.1972245773362196,-0.4908094328163317,-0.5229447841749393,0.48815515171169416,0.24092986542066167,-0.9946637797956684,-1.0051816308373547,0.8167805499382216,0.6479436683616581,9.561788,5.589307,13.00153,2
