PC1,PC2,PC3,숙박업명
-1.6162759903008825,0.46967915258357085,-1.3345078359510858,제주 웨스턴그레이스 강정
-1.2652154202760433,2.0931757264385684,0.051073972538109684,중문 썬라이즈호텔
-0.6235499859022553,1.8429487442730688,-0.8215222283012061,중문 리조트
1.4810087335962112,0.4525005397494442,-1.083017801867944,켄싱턴리조트 서귀포
1.7221206395399125,0.44533036680558435,-1.1271780422654303,금호 제주 리조트
1.077607196326788,1.412079680996144,0.8878423194975671,켄싱턴리조트 제주한림
1.9206475828910912,1.7293128852330564,0.4177921454252168,켄싱턴리조트 제주중문
2.173710709377258,0.1785626686087981,-1.1622935275703317,소노캄 제주
2.0090018136412198,2.1591712980136313,0.5277907486715077,썬 앤 문 리조트
1.709803475488911,1.7479011766066392,-0.008329942053423625,와이리조트 제주
1.3916542388626978,0.775357318906148,-0.9123362051242055,더 그랜드 섬오름
-1.3981793658484594,-1.2456551831621125,0.6560511819783099,호텔 스카이파크 제주 1호점
3.731053033384813,-1.1007737633967098,0.14252837524081305,파르나스 호텔 제주
-0.14445971195525217,0.5680488198856092,-0.035471399415621864,한림 리조트
