분석년월,중분류명,외지인매출금액비율
2022-07,한식,0.04587441619097042
2022-08,간식,0.03540664375715922
2022-08,부페,0.025714285714285714
2022-08,아시아음식,0.04812583668005355
2022-08,양식,0.06810679611650484
2022-08,음료,0.03354636591478697
2022-08,주점및주류판매,0.015901639344262298
2022-08,패스트푸드,0.020921787709497208
2022-08,한식,0.04429037348763809
2022-09,간식,0.06707289293849658
2022-09,부페,0.04111111111111111
2022-09,아시아음식,0.08792011019283746
2022-09,양식,0.10982543640897756
2022-09,음료,0.05939510939510939
2022-09,주점및주류판매,0.030327868852459017
2022-09,패스트푸드,0.033148936170212764
2022-09,한식,0.07683719433719433
2022-10,간식,0.06738372093023257
2022-10,부페,0.04111111111111111
2022-10,아시아음식,0.09549450549450549
2022-10,양식,0.11091836734693877
2022-10,음료,0.062431372549019606
