지역명,소분류명,전체매출금액비율,전체매출수비율
조천읍,스테이크,0.3651428571428571,1.0471428571428572
조천읍,패밀리 레스토랑,0.30111111111111116,1.230740740740741
조천읍,햄버거,0.3001986754966887,2.8181456953642385
조천읍,김치찌개,0.29081632653061223,0.7095918367346938
추자면,갈비,0.061000000000000006,0.09585714285714286
추자면,중식,0.055,0.22999999999999998
추자면,국밥,0.05391304347826087,0.2343478260869565
추자면,치킨,0.04711111111111111,0.13644444444444445
추자면,가정식,0.0414375,0.0921875
추자면,분식,0.03729166666666667,0.2304166666666667
추자면,베이커리,0.02875,0.24708333333333332
추자면,단품요리 전문,0.025317919075144506,0.1445664739884393
추자면,회,0.024545454545454547,0.045454545454545456
추자면,커피,0.019761904761904762,0.20190476190476192
표선면,우동,0.36791666666666667,2.1733333333333333
