지역명,소분류명,전체매출금액비율,전체매출수비율
대정읍,피자,0.10010526315789474,0.5244912280701755
대정읍,곱창,0.09926829268292683,0.2597560975609756
대정읍,장어,0.09767857142857142,0.11053571428571429
대정읍,갈비,0.09602836879432625,0.1953191489361702
대정읍,해장국,0.0943103448275862,0.6502586206896552
대정읍,야식,0.09090909090909091,0.3331818181818182
대정읍,햄버거,0.08807291666666667,0.9416666666666668
대정읍,단품요리 전문,0.08800920245398773,0.5713343558282209
대정읍,스테이크,0.08666666666666667,0.1788888888888889
대정읍,아이스크림/빙수,0.08409090909090909,1.4476363636363636
대정읍,아구찜,0.08265625,0.24515625
대정읍,낙지,0.08166666666666667,0.3411111111111111
대정읍,막창,0.0752,0.1524
대정읍,치킨,0.07378121284185493,0.4436741973840666
대정읍,순두부,0.07333333333333333,0.5681481481481482
